state	speed_discomfort	minimize_discomfort
exposed-1	0.5478980957706132	0.4661408419585867
exposed-2	1.153469675354791	0.9813491410072326
exposed-3	2.4283572113426626	2.065998191658315
recovered	0.0	0.0
symptoms-1	5.112330971347575	4.349469877273826
symptoms-2	4.254845177086501	3.6862003780545254
symptoms-3	1.4925373134324424	1.3043478260863948
