index	return	risk	AAPL	MSFT	AMZN	GOOGL	SPY	TSLA
65	0.022035	0.051220	0.000000	0.384059	0.289007	0.024033	0.302900	0.000000
66	0.022137	0.051567	0.000000	0.388948	0.296760	0.021507	0.292785	0.000000
67	0.022238	0.051916	0.000000	0.393837	0.304513	0.018981	0.282669	0.000000
68	0.022339	0.052267	0.000000	0.398725	0.312266	0.016455	0.272554	0.000000
69	0.022440	0.052620	0.000000	0.403614	0.320019	0.013929	0.262439	0.000000
70	0.022542	0.052975	0.000000	0.408502	0.327772	0.011402	0.252324	0.000000
71	0.022643	0.053331	0.000000	0.413391	0.335524	0.008876	0.242208	0.000000
72	0.022744	0.053689	0.000000	0.418279	0.343277	0.006350	0.232093	0.000000
73	0.022845	0.054049	0.000000	0.423168	0.351030	0.003824	0.221978	0.000000
74	0.022947	0.054411	0.000000	0.428057	0.358783	0.001298	0.211863	0.000000
75	0.023048	0.054774	0.000000	0.433226	0.366182	0.000000	0.200593	0.000000
76	0.023149	0.055140	0.000000	0.438691	0.373206	0.000000	0.188103	0.000000
77	0.023250	0.055507	0.000000	0.444157	0.380230	0.000000	0.175613	0.000000
78	0.023352	0.055877	0.000000	0.449623	0.387255	0.000000	0.163122	0.000000
79	0.023453	0.056248	0.000000	0.455088	0.394279	0.000000	0.150632	0.000000
80	0.023554	0.056621	0.000000	0.460554	0.401304	0.000000	0.138142	0.000000
81	0.023655	0.056996	0.000000	0.466020	0.408328	0.000000	0.125652	0.000000
82	0.023757	0.057373	0.000000	0.471485	0.415353	0.000000	0.113162	0.000000
83	0.023858	0.057752	0.000000	0.476951	0.422377	0.000000	0.100672	0.000000
84	0.023959	0.058133	0.000000	0.482417	0.429402	0.000000	0.088182	0.000000
85	0.024060	0.058515	0.000000	0.487882	0.436426	0.000000	0.075692	0.000000
86	0.024162	0.058899	0.000000	0.493348	0.443450	0.000000	0.063202	0.000000
87	0.024263	0.059285	0.000000	0.498813	0.450475	0.000000	0.050712	0.000000
88	0.024364	0.059672	0.000000	0.504279	0.457499	0.000000	0.038222	0.000000
89	0.024465	0.060061	0.000000	0.509745	0.464524	0.000000	0.025732	0.000000
90	0.024567	0.060452	0.000000	0.515210	0.471548	0.000000	0.013241	0.000000
91	0.024668	0.060844	0.000000	0.520676	0.478573	0.000000	0.000751	0.000000
92	0.024769	0.061306	0.000000	0.466232	0.533768	0.000000	0.000000	0.000000
93	0.024870	0.061923	0.000000	0.407953	0.592047	0.000000	0.000000	0.000000
94	0.024972	0.062689	0.000000	0.349674	0.650326	0.000000	0.000000	0.000000
95	0.025073	0.063600	0.000000	0.291395	0.708605	0.000000	0.000000	0.000000
96	0.025174	0.064649	0.000000	0.233116	0.766884	0.000000	0.000000	0.000000
97	0.025275	0.065830	0.000000	0.174837	0.825163	0.000000	0.000000	0.000000
98	0.025377	0.067135	0.000000	0.116558	0.883442	0.000000	0.000000	0.000000
99	0.025478	0.068559	0.000000	0.058279	0.941721	0.000000	0.000000	0.000000
100	0.025579	0.070093	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
